"Organisation_Code","Specialty","Number_Of_Beds","Effective_Snapshot_Date"
"RDY",451,0,"2016-12-31"
"RDY",150,0,"2016-12-31"
"RDY",146,0,"2016-12-31"
"RDY",300,0,"2016-12-31"
"RDY",430,0,"2016-12-31"
"RDY",148,0,"2016-12-31"
"RDY",143,0,"2016-12-31"
"RDY",315,0,"2016-12-31"
"RDY",304,0,"2016-12-31"
"RDY",140,0,"2016-12-31"
"RDY",142,0,"2016-12-31"
"RDY",370,0,"2016-12-31"
"RDY",130,0,"2016-12-31"
"RDY",352,0,"2016-12-31"
"RDY",834,0,"2016-12-31"
"RDY",303,0,"2016-12-31"
"RDY",192,0,"2016-12-31"
"RDY",833,0,"2016-12-31"
"RDY",320,0,"2016-12-31"
"RDY",326,0,"2016-12-31"
"RDY",313,0,"2016-12-31"
"RDY",715,64.706522,"2016-12-31"
"RDY",810,0,"2016-12-31"
"RDY",821,0,"2016-12-31"
"RDY",310,0,"2016-12-31"
"RDY",700,0,"2016-12-31"
"RDY",460,0,"2016-12-31"
"RDY",110,0,"2016-12-31"
"RDY",101,0,"2016-12-31"
"RDY",321,0,"2016-12-31"
"RDY",325,0,"2016-12-31"
"RDY",340,0,"2016-12-31"
"RDY",314,0,"2016-12-31"
"RDY",361,0,"2016-12-31"
"RDY",311,0,"2016-12-31"
"RDY",711,8.119565,"2016-12-31"
"RDY",713,0,"2016-12-31"
"RDY",350,0,"2016-12-31"
"RDY",360,0,"2016-12-31"
"RDY",831,0,"2016-12-31"
"RDY",900,0,"2016-12-31"
"RDY",901,0,"2016-12-31"
"RDY",302,0,"2016-12-31"
"RDY",190,0,"2016-12-31"
"RDY",410,0,"2016-12-31"
"RDY",149,0,"2016-12-31"
"RDY",145,0,"2016-12-31"
"RDY",160,0,"2016-12-31"
"RDY",147,0,"2016-12-31"
"RDY",420,0,"2016-12-31"
"RDY",371,0,"2016-12-31"
"RDY",421,0,"2016-12-31"
"RDY",400,0,"2016-12-31"
"RDY",502,0,"2016-12-31"
"RDY",171,0,"2016-12-31"
"RDY",301,0,"2016-12-31"
"RDY",180,0,"2016-12-31"
"RDY",450,0,"2016-12-31"
"RDY",824,0,"2016-12-31"
"RDY",800,0,"2016-12-31"
"RDY",820,0,"2016-12-31"
"RDY",315,0,"2016-09-30"
"RDY",311,0,"2016-09-30"
"RDY",192,0,"2016-09-30"
"RDY",450,0,"2016-09-30"
"RDY",360,0,"2016-09-30"
"RDY",141,0,"2016-09-30"
"RDY",180,0,"2016-09-30"
"RDY",149,0,"2016-09-30"
"RDY",160,0,"2016-09-30"
"RDY",420,0,"2016-09-30"
"RDY",370,0,"2016-09-30"
"RDY",830,0,"2016-09-30"
"RDY",712,0,"2016-09-30"
"RDY",305,0,"2016-09-30"
"RDY",711,9.163043,"2016-09-30"
"RDY",301,0,"2016-09-30"
"RDY",171,0,"2016-09-30"
"RDY",190,0,"2016-09-30"
"RDY",834,0,"2016-09-30"
"RDY",110,0,"2016-09-30"
"RDY",314,0,"2016-09-30"
"RDY",302,0,"2016-09-30"
"RDY",504,0,"2016-09-30"
"RDY",451,0,"2016-09-30"
"RDY",150,0,"2016-09-30"
"RDY",146,0,"2016-09-30"
"RDY",170,0,"2016-09-30"
"RDY",326,0,"2016-09-30"
"RDY",824,0,"2016-09-30"
"RDY",820,0,"2016-09-30"
"RDY",713,0,"2016-09-30"
"RDY",502,0,"2016-09-30"
"RDY",303,0,"2016-09-30"
"RDY",700,0,"2016-09-30"
"RDY",460,0,"2016-09-30"
"RDY",148,0,"2016-09-30"
"RDY",901,0,"2016-09-30"
"RDY",352,0,"2016-09-30"
"RDY",325,0,"2016-09-30"
"RDY",823,0,"2016-09-30"
"RDY",313,0,"2016-09-30"
"RDY",421,0,"2016-09-30"
"RDY",350,0,"2016-09-30"
"RDY",310,0,"2016-09-30"
"RDY",410,0,"2016-09-30"
"RDY",330,0,"2016-09-30"
"RDY",900,0,"2016-09-30"
"RDY",120,0,"2016-09-30"
"RDY",822,0,"2016-09-30"
"RDY",400,0,"2016-09-30"
"RDY",143,0,"2016-09-30"
"RDY",147,0,"2016-09-30"
"RDY",371,0,"2016-09-30"
"RDY",140,0,"2016-09-30"
"RDY",340,0,"2016-09-30"
"RDY",831,0,"2016-09-30"
"RDY",101,0,"2016-09-30"
"RDY",810,0,"2016-09-30"
"RDY",321,0,"2016-09-30"
"RDY",821,0,"2016-09-30"
"RDY",715,61.73913,"2016-09-30"
"RDY",833,0,"2016-09-30"
"RDY",430,0,"2016-09-30"
"RDY",401,0,"2016-09-30"
"RDY",145,0,"2016-09-30"
"RDY",361,0,"2016-09-30"
"RDY",142,0,"2016-09-30"
"RDY",312,0,"2016-09-30"
"RDY",304,0,"2016-09-30"
"RDY",710,137.358696,"2016-09-30"
"RDY",300,0,"2016-09-30"
"RDY",501,0,"2016-09-30"
"RDY",130,0,"2016-09-30"
"RDY",100,0,"2016-09-30"
"RDY",320,0,"2016-09-30"
"RDY",800,0,"2016-09-30"
"RDY",711,8.197802,"2016-06-30"
"RDY",325,0,"2016-06-30"
"RDY",148,0,"2016-06-30"
"RDY",160,0,"2016-06-30"
"RDY",141,0,"2016-06-30"
"RDY",420,0,"2016-06-30"
"RDY",820,0,"2016-06-30"
"RDY",146,0,"2016-06-30"
"RDY",330,0,"2016-06-30"
"RDY",834,0,"2016-06-30"
"RDY",302,0,"2016-06-30"
"RDY",810,0,"2016-06-30"
"RDY",180,0,"2016-06-30"
"RDY",100,0,"2016-06-30"
"RDY",310,0,"2016-06-30"
"RDY",361,0,"2016-06-30"
"RDY",700,0,"2016-06-30"
"RDY",450,0,"2016-06-30"
"RDY",140,0,"2016-06-30"
"RDY",400,0,"2016-06-30"
"RDY",822,0,"2016-06-30"
"RDY",715,67.791209,"2016-06-30"
"RDY",823,0,"2016-06-30"
"RDY",301,0,"2016-06-30"
"RDY",145,0,"2016-06-30"
"RDY",312,0,"2016-06-30"
"RDY",451,0,"2016-06-30"
"RDY",340,0,"2016-06-30"
"RDY",304,0,"2016-06-30"
"RDY",150,0,"2016-06-30"
"RDY",430,0,"2016-06-30"
"RDY",326,0,"2016-06-30"
"RDY",713,0,"2016-06-30"
"RDY",502,0,"2016-06-30"
"RDY",149,0,"2016-06-30"
"RDY",421,0,"2016-06-30"
"RDY",314,0,"2016-06-30"
"RDY",410,0,"2016-06-30"
"RDY",504,0,"2016-06-30"
"RDY",800,0,"2016-06-30"
"RDY",360,0,"2016-06-30"
"RDY",371,0,"2016-06-30"
"RDY",303,0,"2016-06-30"
"RDY",833,0,"2016-06-30"
"RDY",101,0,"2016-06-30"
"RDY",170,0,"2016-06-30"
"RDY",190,0,"2016-06-30"
"RDY",460,0,"2016-06-30"
"RDY",821,0,"2016-06-30"
"RDY",171,0,"2016-06-30"
"RDY",120,0,"2016-06-30"
"RDY",501,0,"2016-06-30"
"RDY",313,0,"2016-06-30"
"RDY",147,0,"2016-06-30"
"RDY",352,0,"2016-06-30"
"RDY",824,0,"2016-06-30"
"RDY",320,0,"2016-06-30"
"RDY",130,0,"2016-06-30"
"RDY",300,0,"2016-06-30"
"RDY",370,0,"2016-06-30"
"RDY",142,0,"2016-06-30"
"RDY",311,0,"2016-06-30"
"RDY",110,0,"2016-06-30"
"RDY",321,0,"2016-06-30"
"RDY",712,0,"2016-06-30"
"RDY",901,0,"2016-06-30"
"RDY",143,0,"2016-06-30"
"RDY",401,0,"2016-06-30"
"RDY",305,0,"2016-06-30"
"RDY",900,0,"2016-06-30"
"RDY",192,0,"2016-06-30"
"RDY",830,0,"2016-06-30"
"RDY",350,0,"2016-06-30"
"RDY",315,0,"2016-06-30"
"RDY",831,0,"2016-06-30"
"RDY",710,136.758242,"2016-06-30"
"RDY",830,0,"2016-03-31"
"RDY",831,0,"2016-03-31"
"RDY",833,0,"2016-03-31"
"RDY",834,0,"2016-03-31"
"RDY",312,0,"2016-03-31"
"RDY",823,0,"2016-03-31"
"RDY",824,0,"2016-03-31"
"RDY",451,0,"2016-03-31"
"RDY",460,0,"2016-03-31"
"RDY",501,0,"2016-03-31"
"RDY",160,0,"2016-03-31"
"RDY",170,0,"2016-03-31"
"RDY",171,0,"2016-03-31"
"RDY",143,0,"2016-03-31"
"RDY",145,0,"2016-03-31"
"RDY",410,0,"2016-03-31"
"RDY",420,0,"2016-03-31"
"RDY",421,0,"2016-03-31"
"RDY",326,0,"2016-03-31"
"RDY",330,0,"2016-03-31"
"RDY",340,0,"2016-03-31"
"RDY",146,0,"2016-03-31"
"RDY",147,0,"2016-03-31"
"RDY",148,0,"2016-03-31"
"RDY",149,0,"2016-03-31"
"RDY",700,0,"2016-03-31"
"RDY",710,133.428571,"2016-03-31"
"RDY",711,8.681319,"2016-03-31"
"RDY",352,0,"2016-03-31"
"RDY",360,0,"2016-03-31"
"RDY",361,0,"2016-03-31"
"RDY",100,0,"2016-03-31"
"RDY",810,0,"2016-03-31"
"RDY",820,0,"2016-03-31"
"RDY",401,0,"2016-03-31"
"RDY",321,0,"2016-03-31"
"RDY",325,0,"2016-03-31"
"RDY",140,0,"2016-03-31"
"RDY",190,0,"2016-03-31"
"RDY",821,0,"2016-03-31"
"RDY",822,0,"2016-03-31"
"RDY",901,0,"2016-03-31"
"RDY",192,0,"2016-03-31"
"RDY",300,0,"2016-03-31"
"RDY",301,0,"2016-03-31"
"RDY",304,0,"2016-03-31"
"RDY",305,0,"2016-03-31"
"RDY",310,0,"2016-03-31"
"RDY",311,0,"2016-03-31"
"RDY",350,0,"2016-03-31"
"RDY",900,0,"2016-03-31"
"RDY",120,0,"2016-03-31"
"RDY",130,0,"2016-03-31"
"RDY",715,69.582418,"2016-03-31"
"RDY",800,0,"2016-03-31"
"RDY",302,0,"2016-03-31"
"RDY",303,0,"2016-03-31"
"RDY",450,0,"2016-03-31"
"RDY",180,0,"2016-03-31"
"RDY",150,0,"2016-03-31"
"RDY",371,0,"2016-03-31"
"RDY",400,0,"2016-03-31"
"RDY",370,0,"2016-03-31"
"RDY",502,0,"2016-03-31"
"RDY",504,0,"2016-03-31"
"RDY",101,0,"2016-03-31"
"RDY",110,0,"2016-03-31"
"RDY",313,0,"2016-03-31"
"RDY",314,0,"2016-03-31"
"RDY",315,0,"2016-03-31"
"RDY",320,0,"2016-03-31"
"RDY",712,0,"2016-03-31"
"RDY",713,0,"2016-03-31"
"RDY",430,0,"2016-03-31"
"RDY",141,0,"2016-03-31"
"RDY",142,0,"2016-03-31"
"RDY",148,0,"2015-03-31"
"RDY",130,0,"2015-03-31"
"RDY",100,0,"2015-03-31"
"RDY",101,0,"2015-03-31"
"RDY",110,0,"2015-03-31"
"RDY",150,0,"2015-03-31"
"RDY",180,0,"2015-03-31"
"RDY",190,0,"2015-03-31"
"RDY",192,0,"2015-03-31"
"RDY",360,0,"2015-03-31"
"RDY",361,0,"2015-03-31"
"RDY",370,0,"2015-03-31"
"RDY",371,0,"2015-03-31"
"RDY",303,0,"2015-03-31"
"RDY",304,0,"2015-03-31"
"RDY",305,0,"2015-03-31"
"RDY",400,0,"2015-03-31"
"RDY",401,0,"2015-03-31"
"RDY",410,0,"2015-03-31"
"RDY",430,0,"2015-03-31"
"RDY",450,0,"2015-03-31"
"RDY",310,0,"2015-03-31"
"RDY",311,0,"2015-03-31"
"RDY",312,0,"2015-03-31"
"RDY",326,0,"2015-03-31"
"RDY",330,0,"2015-03-31"
"RDY",340,0,"2015-03-31"
"RDY",315,0,"2015-03-31"
"RDY",824,0,"2015-03-31"
"RDY",830,0,"2015-03-31"
"RDY",140,0,"2015-03-31"
"RDY",141,0,"2015-03-31"
"RDY",142,0,"2015-03-31"
"RDY",143,0,"2015-03-31"
"RDY",120,0,"2015-03-31"
"RDY",420,0,"2015-03-31"
"RDY",421,0,"2015-03-31"
"RDY",451,0,"2015-03-31"
"RDY",460,0,"2015-03-31"
"RDY",300,0,"2015-03-31"
"RDY",301,0,"2015-03-31"
"RDY",302,0,"2015-03-31"
"RDY",313,0,"2015-03-31"
"RDY",314,0,"2015-03-31"
"RDY",900,0,"2015-03-31"
"RDY",901,0,"2015-03-31"
"RDY",810,0,"2015-03-31"
"RDY",820,0,"2015-03-31"
"RDY",821,0,"2015-03-31"
"RDY",145,0,"2015-03-31"
"RDY",146,0,"2015-03-31"
"RDY",147,0,"2015-03-31"
"RDY",823,0,"2015-03-31"
"RDY",320,0,"2015-03-31"
"RDY",321,0,"2015-03-31"
"RDY",325,0,"2015-03-31"
"RDY",350,0,"2015-03-31"
"RDY",352,0,"2015-03-31"
"RDY",501,0,"2015-03-31"
"RDY",502,0,"2015-03-31"
"RDY",504,0,"2015-03-31"
"RDY",700,0,"2015-03-31"
"RDY",822,0,"2015-03-31"
"RDY",160,0,"2015-03-31"
"RDY",170,0,"2015-03-31"
"RDY",171,0,"2015-03-31"
"RDY",713,0,"2015-03-31"
"RDY",715,0,"2015-03-31"
"RDY",800,0,"2015-03-31"
"RDY",831,0,"2015-03-31"
"RDY",833,0,"2015-03-31"
"RDY",834,0,"2015-03-31"
"RDY",149,0,"2015-03-31"
"RDY",710,0,"2015-03-31"
"RDY",711,0,"2015-03-31"
"RDY",712,0,"2015-03-31"
"RDY",420,0,"2014-12-31"
"RDY",421,0,"2014-12-31"
"RDY",501,0,"2014-12-31"
"RDY",502,0,"2014-12-31"
"RDY",504,0,"2014-12-31"
"RDY",311,0,"2014-12-31"
"RDY",147,0,"2014-12-31"
"RDY",148,0,"2014-12-31"
"RDY",149,0,"2014-12-31"
"RDY",145,0,"2014-12-31"
"RDY",146,0,"2014-12-31"
"RDY",700,0,"2014-12-31"
"RDY",710,0,"2014-12-31"
"RDY",312,0,"2014-12-31"
"RDY",313,0,"2014-12-31"
"RDY",314,0,"2014-12-31"
"RDY",320,0,"2014-12-31"
"RDY",321,0,"2014-12-31"
"RDY",325,0,"2014-12-31"
"RDY",361,0,"2014-12-31"
"RDY",370,0,"2014-12-31"
"RDY",371,0,"2014-12-31"
"RDY",140,0,"2014-12-31"
"RDY",141,0,"2014-12-31"
"RDY",142,0,"2014-12-31"
"RDY",901,0,"2014-12-31"
"RDY",823,0,"2014-12-31"
"RDY",300,0,"2014-12-31"
"RDY",301,0,"2014-12-31"
"RDY",824,0,"2014-12-31"
"RDY",834,0,"2014-12-31"
"RDY",900,0,"2014-12-31"
"RDY",830,0,"2014-12-31"
"RDY",330,0,"2014-12-31"
"RDY",821,0,"2014-12-31"
"RDY",822,0,"2014-12-31"
"RDY",302,0,"2014-12-31"
"RDY",831,0,"2014-12-31"
"RDY",833,0,"2014-12-31"
"RDY",192,0,"2014-12-31"
"RDY",340,0,"2014-12-31"
"RDY",350,0,"2014-12-31"
"RDY",352,0,"2014-12-31"
"RDY",360,0,"2014-12-31"
"RDY",400,0,"2014-12-31"
"RDY",143,0,"2014-12-31"
"RDY",451,0,"2014-12-31"
"RDY",460,0,"2014-12-31"
"RDY",303,0,"2014-12-31"
"RDY",304,0,"2014-12-31"
"RDY",305,0,"2014-12-31"
"RDY",101,0,"2014-12-31"
"RDY",110,0,"2014-12-31"
"RDY",150,0,"2014-12-31"
"RDY",160,0,"2014-12-31"
"RDY",170,0,"2014-12-31"
"RDY",326,0,"2014-12-31"
"RDY",800,0,"2014-12-31"
"RDY",810,0,"2014-12-31"
"RDY",820,0,"2014-12-31"
"RDY",315,0,"2014-12-31"
"RDY",100,0,"2014-12-31"
"RDY",430,0,"2014-12-31"
"RDY",450,0,"2014-12-31"
"RDY",712,0,"2014-12-31"
"RDY",713,0,"2014-12-31"
"RDY",715,0,"2014-12-31"
"RDY",310,0,"2014-12-31"
"RDY",401,0,"2014-12-31"
"RDY",410,0,"2014-12-31"
"RDY",120,0,"2014-12-31"
"RDY",130,0,"2014-12-31"
"RDY",171,0,"2014-12-31"
"RDY",711,0,"2014-12-31"
"RDY",180,0,"2014-12-31"
"RDY",190,0,"2014-12-31"
"RDY",314,0,"2014-09-30"
"RDY",315,0,"2014-09-30"
"RDY",320,0,"2014-09-30"
"RDY",502,0,"2014-09-30"
"RDY",313,0,"2014-09-30"
"RDY",713,0,"2014-09-30"
"RDY",715,0,"2014-09-30"
"RDY",800,0,"2014-09-30"
"RDY",821,0,"2014-09-30"
"RDY",822,0,"2014-09-30"
"RDY",823,0,"2014-09-30"
"RDY",451,0,"2014-09-30"
"RDY",460,0,"2014-09-30"
"RDY",401,0,"2014-09-30"
"RDY",400,0,"2014-09-30"
"RDY",140,0,"2014-09-30"
"RDY",141,0,"2014-09-30"
"RDY",304,0,"2014-09-30"
"RDY",340,0,"2014-09-30"
"RDY",350,0,"2014-09-30"
"RDY",352,0,"2014-09-30"
"RDY",330,0,"2014-09-30"
"RDY",301,0,"2014-09-30"
"RDY",302,0,"2014-09-30"
"RDY",303,0,"2014-09-30"
"RDY",360,0,"2014-09-30"
"RDY",361,0,"2014-09-30"
"RDY",321,0,"2014-09-30"
"RDY",325,0,"2014-09-30"
"RDY",147,0,"2014-09-30"
"RDY",110,0,"2014-09-30"
"RDY",149,0,"2014-09-30"
"RDY",370,0,"2014-09-30"
"RDY",371,0,"2014-09-30"
"RDY",148,0,"2014-09-30"
"RDY",420,0,"2014-09-30"
"RDY",421,0,"2014-09-30"
"RDY",501,0,"2014-09-30"
"RDY",150,0,"2014-09-30"
"RDY",160,0,"2014-09-30"
"RDY",170,0,"2014-09-30"
"RDY",120,0,"2014-09-30"
"RDY",130,0,"2014-09-30"
"RDY",100,0,"2014-09-30"
"RDY",101,0,"2014-09-30"
"RDY",410,0,"2014-09-30"
"RDY",142,0,"2014-09-30"
"RDY",430,0,"2014-09-30"
"RDY",450,0,"2014-09-30"
"RDY",300,0,"2014-09-30"
"RDY",504,0,"2014-09-30"
"RDY",305,0,"2014-09-30"
"RDY",310,0,"2014-09-30"
"RDY",311,0,"2014-09-30"
"RDY",180,0,"2014-09-30"
"RDY",190,0,"2014-09-30"
"RDY",192,0,"2014-09-30"
"RDY",700,0,"2014-09-30"
"RDY",710,0,"2014-09-30"
"RDY",711,0,"2014-09-30"
"RDY",712,0,"2014-09-30"
"RDY",312,0,"2014-09-30"
"RDY",820,0,"2014-09-30"
"RDY",171,0,"2014-09-30"
"RDY",833,0,"2014-09-30"
"RDY",834,0,"2014-09-30"
"RDY",326,0,"2014-09-30"
"RDY",143,0,"2014-09-30"
"RDY",145,0,"2014-09-30"
"RDY",146,0,"2014-09-30"
"RDY",900,0,"2014-09-30"
"RDY",901,0,"2014-09-30"
"RDY",831,0,"2014-09-30"
"RDY",810,0,"2014-09-30"
"RDY",824,0,"2014-09-30"
"RDY",830,0,"2014-09-30"
"RDY",830,0,"2014-06-30"
"RDY",301,0,"2014-06-30"
"RDY",311,0,"2014-06-30"
"RDY",312,0,"2014-06-30"
"RDY",302,0,"2014-06-30"
"RDY",303,0,"2014-06-30"
"RDY",304,0,"2014-06-30"
"RDY",101,0,"2014-06-30"
"RDY",120,0,"2014-06-30"
"RDY",130,0,"2014-06-30"
"RDY",140,0,"2014-06-30"
"RDY",146,0,"2014-06-30"
"RDY",180,0,"2014-06-30"
"RDY",305,0,"2014-06-30"
"RDY",160,0,"2014-06-30"
"RDY",170,0,"2014-06-30"
"RDY",171,0,"2014-06-30"
"RDY",360,0,"2014-06-30"
"RDY",361,0,"2014-06-30"
"RDY",370,0,"2014-06-30"
"RDY",901,0,"2014-06-30"
"RDY",421,0,"2014-06-30"
"RDY",504,0,"2014-06-30"
"RDY",700,0,"2014-06-30"
"RDY",430,0,"2014-06-30"
"RDY",450,0,"2014-06-30"
"RDY",451,0,"2014-06-30"
"RDY",340,0,"2014-06-30"
"RDY",350,0,"2014-06-30"
"RDY",352,0,"2014-06-30"
"RDY",313,0,"2014-06-30"
"RDY",314,0,"2014-06-30"
"RDY",321,0,"2014-06-30"
"RDY",325,0,"2014-06-30"
"RDY",315,0,"2014-06-30"
"RDY",320,0,"2014-06-30"
"RDY",831,0,"2014-06-30"
"RDY",833,0,"2014-06-30"
"RDY",190,0,"2014-06-30"
"RDY",192,0,"2014-06-30"
"RDY",300,0,"2014-06-30"
"RDY",460,0,"2014-06-30"
"RDY",147,0,"2014-06-30"
"RDY",148,0,"2014-06-30"
"RDY",149,0,"2014-06-30"
"RDY",100,0,"2014-06-30"
"RDY",824,0,"2014-06-30"
"RDY",821,0,"2014-06-30"
"RDY",822,0,"2014-06-30"
"RDY",143,0,"2014-06-30"
"RDY",145,0,"2014-06-30"
"RDY",800,0,"2014-06-30"
"RDY",810,0,"2014-06-30"
"RDY",820,0,"2014-06-30"
"RDY",823,0,"2014-06-30"
"RDY",371,0,"2014-06-30"
"RDY",150,0,"2014-06-30"
"RDY",420,0,"2014-06-30"
"RDY",400,0,"2014-06-30"
"RDY",401,0,"2014-06-30"
"RDY",410,0,"2014-06-30"
"RDY",141,0,"2014-06-30"
"RDY",142,0,"2014-06-30"
"RDY",110,0,"2014-06-30"
"RDY",310,0,"2014-06-30"
"RDY",834,0,"2014-06-30"
"RDY",900,0,"2014-06-30"
"RDY",326,0,"2014-06-30"
"RDY",330,0,"2014-06-30"
"RDY",710,0,"2014-06-30"
"RDY",711,0,"2014-06-30"
"RDY",712,0,"2014-06-30"
"RDY",501,0,"2014-06-30"
"RDY",502,0,"2014-06-30"
"RDY",713,0,"2014-06-30"
"RDY",715,0,"2014-06-30"
"RDY",800,0,"2014-03-31"
"RDY",810,0,"2014-03-31"
"RDY",820,0,"2014-03-31"
"RDY",834,0,"2014-03-31"
"RDY",901,0,"2014-03-31"
"RDY",900,0,"2014-03-31"
"RDY",830,0,"2014-03-31"
"RDY",831,0,"2014-03-31"
"RDY",101,0,"2014-03-31"
"RDY",110,0,"2014-03-31"
"RDY",120,0,"2014-03-31"
"RDY",145,0,"2014-03-31"
"RDY",502,0,"2014-03-31"
"RDY",504,0,"2014-03-31"
"RDY",712,0,"2014-03-31"
"RDY",371,0,"2014-03-31"
"RDY",400,0,"2014-03-31"
"RDY",401,0,"2014-03-31"
"RDY",410,0,"2014-03-31"
"RDY",451,0,"2014-03-31"
"RDY",330,0,"2014-03-31"
"RDY",340,0,"2014-03-31"
"RDY",350,0,"2014-03-31"
"RDY",370,0,"2014-03-31"
"RDY",823,0,"2014-03-31"
"RDY",304,0,"2014-03-31"
"RDY",170,0,"2014-03-31"
"RDY",313,0,"2014-03-31"
"RDY",314,0,"2014-03-31"
"RDY",315,0,"2014-03-31"
"RDY",141,0,"2014-03-31"
"RDY",142,0,"2014-03-31"
"RDY",143,0,"2014-03-31"
"RDY",352,0,"2014-03-31"
"RDY",360,0,"2014-03-31"
"RDY",361,0,"2014-03-31"
"RDY",312,0,"2014-03-31"
"RDY",130,0,"2014-03-31"
"RDY",140,0,"2014-03-31"
"RDY",821,0,"2014-03-31"
"RDY",822,0,"2014-03-31"
"RDY",171,0,"2014-03-31"
"RDY",180,0,"2014-03-31"
"RDY",190,0,"2014-03-31"
"RDY",148,0,"2014-03-31"
"RDY",824,0,"2014-03-31"
"RDY",149,0,"2014-03-31"
"RDY",150,0,"2014-03-31"
"RDY",160,0,"2014-03-31"
"RDY",460,0,"2014-03-31"
"RDY",501,0,"2014-03-31"
"RDY",700,0,"2014-03-31"
"RDY",710,0,"2014-03-31"
"RDY",711,0,"2014-03-31"
"RDY",305,0,"2014-03-31"
"RDY",310,0,"2014-03-31"
"RDY",311,0,"2014-03-31"
"RDY",100,0,"2014-03-31"
"RDY",325,0,"2014-03-31"
"RDY",326,0,"2014-03-31"
"RDY",420,0,"2014-03-31"
"RDY",421,0,"2014-03-31"
"RDY",430,0,"2014-03-31"
"RDY",450,0,"2014-03-31"
"RDY",302,0,"2014-03-31"
"RDY",303,0,"2014-03-31"
"RDY",192,0,"2014-03-31"
"RDY",300,0,"2014-03-31"
"RDY",301,0,"2014-03-31"
"RDY",146,0,"2014-03-31"
"RDY",147,0,"2014-03-31"
"RDY",320,0,"2014-03-31"
"RDY",321,0,"2014-03-31"
"RDY",833,0,"2014-03-31"
"RDY",713,0,"2014-03-31"
"RDY",715,0,"2014-03-31"
"RDY",300,0,"2013-12-31"
"RDY",100,0,"2013-12-31"
"RDY",823,0,"2013-12-31"
"RDY",824,0,"2013-12-31"
"RDY",900,0,"2013-12-31"
"RDY",901,0,"2013-12-31"
"RDY",301,0,"2013-12-31"
"RDY",302,0,"2013-12-31"
"RDY",311,0,"2013-12-31"
"RDY",315,0,"2013-12-31"
"RDY",320,0,"2013-12-31"
"RDY",502,0,"2013-12-31"
"RDY",800,0,"2013-12-31"
"RDY",810,0,"2013-12-31"
"RDY",430,0,"2013-12-31"
"RDY",700,0,"2013-12-31"
"RDY",710,0,"2013-12-31"
"RDY",711,0,"2013-12-31"
"RDY",401,0,"2013-12-31"
"RDY",120,0,"2013-12-31"
"RDY",130,0,"2013-12-31"
"RDY",150,0,"2013-12-31"
"RDY",146,0,"2013-12-31"
"RDY",821,0,"2013-12-31"
"RDY",822,0,"2013-12-31"
"RDY",171,0,"2013-12-31"
"RDY",304,0,"2013-12-31"
"RDY",305,0,"2013-12-31"
"RDY",303,0,"2013-12-31"
"RDY",830,0,"2013-12-31"
"RDY",831,0,"2013-12-31"
"RDY",140,0,"2013-12-31"
"RDY",310,0,"2013-12-31"
"RDY",326,0,"2013-12-31"
"RDY",330,0,"2013-12-31"
"RDY",141,0,"2013-12-31"
"RDY",142,0,"2013-12-31"
"RDY",143,0,"2013-12-31"
"RDY",321,0,"2013-12-31"
"RDY",325,0,"2013-12-31"
"RDY",340,0,"2013-12-31"
"RDY",350,0,"2013-12-31"
"RDY",352,0,"2013-12-31"
"RDY",145,0,"2013-12-31"
"RDY",421,0,"2013-12-31"
"RDY",504,0,"2013-12-31"
"RDY",101,0,"2013-12-31"
"RDY",110,0,"2013-12-31"
"RDY",833,0,"2013-12-31"
"RDY",451,0,"2013-12-31"
"RDY",712,0,"2013-12-31"
"RDY",713,0,"2013-12-31"
"RDY",715,0,"2013-12-31"
"RDY",312,0,"2013-12-31"
"RDY",313,0,"2013-12-31"
"RDY",314,0,"2013-12-31"
"RDY",450,0,"2013-12-31"
"RDY",820,0,"2013-12-31"
"RDY",410,0,"2013-12-31"
"RDY",420,0,"2013-12-31"
"RDY",370,0,"2013-12-31"
"RDY",371,0,"2013-12-31"
"RDY",400,0,"2013-12-31"
"RDY",460,0,"2013-12-31"
"RDY",501,0,"2013-12-31"
"RDY",360,0,"2013-12-31"
"RDY",361,0,"2013-12-31"
"RDY",834,0,"2013-12-31"
"RDY",180,0,"2013-12-31"
"RDY",190,0,"2013-12-31"
"RDY",192,0,"2013-12-31"
"RDY",160,0,"2013-12-31"
"RDY",170,0,"2013-12-31"
"RDY",149,0,"2013-12-31"
"RDY",147,0,"2013-12-31"
"RDY",148,0,"2013-12-31"
"RDY",340,0,"2013-09-30"
"RDY",350,0,"2013-09-30"
"RDY",352,0,"2013-09-30"
"RDY",321,0,"2013-09-30"
"RDY",325,0,"2013-09-30"
"RDY",410,0,"2013-09-30"
"RDY",420,0,"2013-09-30"
"RDY",421,0,"2013-09-30"
"RDY",190,0,"2013-09-30"
"RDY",313,0,"2013-09-30"
"RDY",314,0,"2013-09-30"
"RDY",360,0,"2013-09-30"
"RDY",192,0,"2013-09-30"
"RDY",300,0,"2013-09-30"
"RDY",301,0,"2013-09-30"
"RDY",900,0,"2013-09-30"
"RDY",901,0,"2013-09-30"
"RDY",148,0,"2013-09-30"
"RDY",149,0,"2013-09-30"
"RDY",820,0,"2013-09-30"
"RDY",821,0,"2013-09-30"
"RDY",822,0,"2013-09-30"
"RDY",150,0,"2013-09-30"
"RDY",160,0,"2013-09-30"
"RDY",170,0,"2013-09-30"
"RDY",823,0,"2013-09-30"
"RDY",100,0,"2013-09-30"
"RDY",101,0,"2013-09-30"
